index_name,Date,Open,High,Low,Close
DJIA,11/12/2021,35963.78,36147.63,35934.59,36100.31
DJIA,11/11/2021,36038.78,36108.17,35915.27,35921.23
DJIA,11/10/2021,36299.25,36346.61,36009.50,36079.94
DJIA,11/9/2021,36404.53,36416.98,36173.07,36319.98
DJIA,11/8/2021,36416.46,36565.73,36334.42,36432.22
DJIA,11/5/2021,36268.75,36484.75,36190.20,36327.95
DJIA,11/4/2021,36107.46,36168.03,35986.48,36124.23
DJIA,11/3/2021,36059.09,36178.51,35891.73,36157.58
DJIA,11/2/2021,35935.11,36088.81,35884.13,36052.63
DJIA,11/1/2021,35833.65,36009.74,35797.97,35913.84
DJIA,10/29/2021,35712.28,35852.53,35633.20,35819.56
DJIA,10/28/2021,35545.41,35742.25,35545.41,35730.48
DJIA,10/27/2021,35835.43,35835.43,35490.43,35490.69
DJIA,10/26/2021,35791.05,35892.92,35734.73,35756.88
DJIA,10/25/2021,35692.62,35787.04,35629.37,35741.15
DJIA,10/22/2021,35607.72,35765.02,35533.95,35677.02
DJIA,10/21/2021,35520.32,35612.36,35442.53,35603.08
DJIA,10/20/2021,35475.16,35669.69,35465.71,35609.34
DJIA,10/19/2021,35325.37,35462.68,35290.12,35457.31
DJIA,10/18/2021,35221.02,35327.57,35035.94,35258.61
DJIA,10/15/2021,35023.63,35320.97,35023.63,35294.76
DJIA,10/14/2021,34443.22,34923.83,34443.22,34912.56
DJIA,10/13/2021,34372.71,34449.83,34115.10,34377.81
DJIA,10/12/2021,34507.15,34611.24,34318.94,34378.34
DJIA,10/11/2021,34723.79,34951.35,34486.51,34496.06
DJIA,10/8/2021,34757.57,34842.62,34661.95,34746.25
DJIA,10/7/2021,34509.72,34975.19,34509.72,34754.94
DJIA,10/6/2021,34198.96,34432.68,33854.69,34416.99
DJIA,10/5/2021,34035.25,34490.95,34035.25,34314.67
DJIA,10/4/2021,34312.96,34410.28,33821.58,34002.92
DJIA,10/1/2021,33930.70,34490.56,33785.54,34326.46
DJIA,9/30/2021,34467.98,34557.37,33833.32,33843.92
DJIA,9/29/2021,34360.08,34580.42,34305.96,34390.72
DJIA,9/28/2021,34747.70,34798.21,34254.65,34299.99
DJIA,9/27/2021,34739.27,35061.12,34739.27,34869.37
DJIA,9/24/2021,34762.31,34857.06,34648.08,34798.00
DJIA,9/23/2021,34296.30,34879.78,34296.30,34764.82
DJIA,9/22/2021,34006.87,34440.42,34006.87,34258.32
DJIA,9/21/2021,34025.61,34313.88,33914.02,33919.84
DJIA,9/20/2021,34459.72,34459.72,33613.03,33970.47
DJIA,9/17/2021,34737.86,34779.86,34519.63,34584.88
DJIA,9/16/2021,34810.27,34943.55,34540.11,34751.32
DJIA,9/15/2021,34580.95,34880.77,34522.03,34814.39
DJIA,9/14/2021,34906.90,34990.36,34510.30,34577.57
DJIA,9/13/2021,34665.50,34939.10,34665.50,34869.63
DJIA,9/10/2021,34949.59,35104.25,34599.61,34607.72
DJIA,9/9/2021,35013.08,35199.89,34847.30,34879.38
DJIA,9/8/2021,35087.45,35175.15,34925.61,35031.07
DJIA,9/7/2021,35373.24,35373.24,35060.90,35100.00
DJIA,9/3/2021,35401.73,35422.71,35269.40,35369.09
DJIA,9/2/2021,35353.06,35475.40,35348.48,35443.82
DJIA,9/1/2021,35387.55,35407.37,35287.05,35312.53
DJIA,8/31/2021,35391.38,35449.79,35289.86,35360.73
DJIA,8/30/2021,35471.80,35510.71,35374.46,35399.84
DJIA,8/27/2021,35231.11,35479.18,35231.11,35455.80
DJIA,8/26/2021,35449.68,35498.45,35205.10,35213.12
DJIA,8/25/2021,35388.77,35501.14,35287.63,35405.50
DJIA,8/24/2021,35382.72,35445.47,35356.18,35366.26
DJIA,8/23/2021,35160.97,35428.91,35160.97,35335.71
DJIA,8/20/2021,34917.96,35177.26,34867.07,35120.08
DJIA,8/19/2021,34874.67,34997.81,34690.25,34894.12
DJIA,8/18/2021,35310.20,35356.80,34943.41,34960.69
DJIA,8/17/2021,35500.01,35500.01,35120.31,35343.28
DJIA,8/16/2021,35490.83,35631.19,35231.87,35625.40
DJIA,8/13/2021,35551.56,35610.57,35474.78,35515.38
DJIA,8/12/2021,35481.94,35510.77,35352.53,35499.85
DJIA,8/11/2021,35300.89,35501.16,35300.89,35484.97
DJIA,8/10/2021,35135.17,35285.16,35091.91,35264.67
DJIA,8/9/2021,35229.67,35229.67,35041.24,35101.85
DJIA,8/6/2021,35077.44,35246.79,35077.44,35208.51
DJIA,8/5/2021,34815.61,35067.54,34815.61,35064.25
DJIA,8/4/2021,35047.44,35047.44,34790.62,34792.67
DJIA,8/3/2021,34864.10,35120.94,34714.33,35116.40
DJIA,8/2/2021,34968.56,35192.11,34808.20,34838.16
DJIA,7/30/2021,35013.26,35106.30,34871.13,34935.47
DJIA,7/29/2021,34985.99,35171.52,34985.99,35084.53
DJIA,7/28/2021,35109.95,35116.37,34876.84,34930.93
DJIA,7/27/2021,35078.90,35078.90,34878.07,35058.52
DJIA,7/26/2021,35055.86,35150.37,34950.19,35144.31
DJIA,7/23/2021,34855.11,35095.33,34855.11,35061.55
DJIA,7/22/2021,34799.68,34879.28,34673.03,34823.35
DJIA,7/21/2021,34556.96,34820.24,34556.96,34798.00
DJIA,7/20/2021,33981.79,34621.79,33981.79,34511.99
DJIA,7/19/2021,34528.48,34528.48,33741.76,33962.04
DJIA,7/16/2021,35007.94,35090.01,34647.82,34687.85
DJIA,7/15/2021,34924.81,34990.41,34762.87,34987.02
DJIA,7/14/2021,34920.83,35069.18,34826.87,34933.23
DJIA,7/13/2021,34959.96,35018.79,34876.89,34888.79
DJIA,7/12/2021,34836.75,35014.90,34730.15,34996.18
DJIA,7/9/2021,34457.51,34893.72,34457.51,34870.16
DJIA,7/8/2021,34569.01,34569.01,34145.59,34421.93
DJIA,7/7/2021,34604.17,34708.78,34435.59,34681.79
DJIA,7/6/2021,34790.16,34814.20,34358.42,34577.37
DJIA,7/2/2021,34642.42,34821.93,34613.49,34786.35
DJIA,7/1/2021,34507.32,34640.28,34498.85,34633.53
DJIA,6/30/2021,34290.74,34553.16,34245.48,34502.51
DJIA,6/29/2021,34338.89,34469.83,34266.83,34292.29
DJIA,6/28/2021,34428.10,34449.65,34186.13,34283.27
DJIA,6/25/2021,34328.10,34501.02,34314.80,34433.84
DJIA,6/24/2021,33933.91,34233.02,33933.91,34196.82
DJIA,6/23/2021,33948.54,34009.40,33869.83,33874.24
DJIA,6/22/2021,33872.56,34040.70,33751.06,33945.58
DJIA,6/21/2021,33312.07,33908.09,33312.07,33876.97
DJIA,6/18/2021,33622.70,33622.70,33271.93,33290.08
DJIA,6/17/2021,34014.38,34091.79,33626.61,33823.45
DJIA,6/16/2021,34308.48,34333.25,33917.11,34033.67
DJIA,6/15/2021,34397.10,34420.38,34199.16,34299.33
DJIA,6/14/2021,34472.52,34472.52,34211.54,34393.75
DJIA,6/11/2021,34499.81,34618.09,34328.65,34479.60
DJIA,6/10/2021,34502.51,34737.79,34447.25,34466.24
DJIA,6/9/2021,34626.16,34654.67,34439.37,34447.14
DJIA,6/8/2021,34645.84,34665.38,34452.94,34599.82
DJIA,6/7/2021,34766.20,34820.91,34574.51,34630.24
DJIA,6/4/2021,34618.69,34772.12,34618.69,34756.39
DJIA,6/3/2021,34550.31,34667.41,34334.41,34577.04
DJIA,6/2/2021,34614.62,34706.65,34545.96,34600.38
DJIA,6/1/2021,34584.19,34849.32,34542.87,34575.31
DJIA,5/28/2021,34558.50,34631.11,34520.09,34529.45
DJIA,5/27/2021,34432.47,34608.82,34389.24,34464.64
DJIA,5/26/2021,34336.34,34409.59,34271.44,34323.05
DJIA,5/25/2021,34428.66,34511.35,34266.03,34312.46
DJIA,5/24/2021,34253.87,34472.51,34253.87,34393.98
DJIA,5/21/2021,34121.91,34415.48,34121.91,34207.84
DJIA,5/20/2021,33906.30,34233.40,33872.41,34084.15
DJIA,5/19/2021,33945.81,33945.81,33473.80,33896.04
DJIA,5/18/2021,34351.18,34408.99,34044.10,34060.66
DJIA,5/17/2021,34375.29,34383.84,34176.65,34327.79
DJIA,5/14/2021,34050.86,34454.05,34050.86,34382.13
DJIA,5/13/2021,33624.74,34181.77,33623.49,34021.45
DJIA,5/12/2021,34206.40,34207.87,33555.22,33587.66
DJIA,5/11/2021,34572.74,34572.74,34075.31,34269.16
DJIA,5/10/2021,34785.27,35091.56,34741.57,34742.82
DJIA,5/7/2021,34578.27,34811.39,34464.31,34777.76
DJIA,5/6/2021,34245.11,34561.29,34185.06,34548.53
DJIA,5/5/2021,34163.99,34331.20,34039.66,34230.34
DJIA,5/4/2021,34080.20,34147.78,33765.68,34133.03
DJIA,5/3/2021,33904.89,34221.06,33904.89,34113.23
DJIA,4/30/2021,33988.75,33988.75,33784.96,33874.85
DJIA,4/29/2021,33855.64,34087.21,33744.28,34060.36
DJIA,4/28/2021,33860.46,33946.60,33805.56,33820.38
DJIA,4/27/2021,33932.13,34043.98,33870.46,33984.93
DJIA,4/26/2021,34044.23,34148.94,33941.37,33981.57
DJIA,4/23/2021,33804.52,34157.57,33713.29,34043.49
DJIA,4/22/2021,34109.88,34126.57,33717.19,33815.90
DJIA,4/21/2021,33808.30,34160.34,33773.80,34137.31
DJIA,4/20/2021,34034.18,34034.18,33687.01,33821.30
DJIA,4/19/2021,34182.38,34182.38,33980.56,34077.63
DJIA,4/16/2021,34058.16,34256.75,34058.16,34200.67
DJIA,4/15/2021,33788.53,34068.73,33788.53,34035.99
DJIA,4/14/2021,33668.95,33911.25,33668.95,33730.89
DJIA,4/13/2021,33721.16,33741.64,33545.84,33677.27
DJIA,4/12/2021,33775.06,33786.19,33665.54,33745.40
DJIA,4/9/2021,33526.19,33810.87,33526.19,33800.60
DJIA,4/8/2021,33469.89,33506.80,33342.64,33503.57
DJIA,4/7/2021,33444.98,33521.76,33347.96,33446.26
DJIA,4/6/2021,33500.02,33544.79,33380.43,33430.24
DJIA,4/5/2021,33222.38,33617.95,33222.38,33527.19
DJIA,4/1/2021,33054.58,33167.17,32985.35,33153.21
DJIA,3/31/2021,33116.04,33173.77,32980.57,32981.55
DJIA,3/30/2021,33127.88,33170.93,32988.92,33066.96
DJIA,3/29/2021,33087.55,33259.00,32905.13,33171.37
DJIA,3/26/2021,32681.07,33098.83,32681.07,33072.88
DJIA,3/25/2021,32346.81,32672.69,32071.41,32619.48
DJIA,3/24/2021,32470.88,32787.99,32418.15,32420.06
DJIA,3/23/2021,32691.50,32753.77,32356.28,32423.15
DJIA,3/22/2021,32601.82,32810.35,32512.53,32731.20
DJIA,3/19/2021,32858.36,32858.36,32505.07,32627.97
DJIA,3/18/2021,32928.16,33227.78,32831.25,32862.30
DJIA,3/17/2021,32825.52,33047.58,32782.18,33015.37
DJIA,3/16/2021,32966.75,32966.75,32778.23,32825.95
DJIA,3/15/2021,32798.84,32973.40,32629.75,32953.46
DJIA,3/12/2021,32462.40,32793.32,32462.40,32778.64
DJIA,3/11/2021,32354.50,32661.59,32345.70,32485.59
DJIA,3/10/2021,31906.96,32389.50,31906.96,32297.02
DJIA,3/9/2021,31892.35,32150.32,31822.64,31832.74
DJIA,3/8/2021,31512.15,32148.04,31512.15,31802.44
DJIA,3/5/2021,31029.18,31580.33,30766.81,31496.30
DJIA,3/4/2021,31289.01,31461.97,30547.53,30924.14
DJIA,3/3/2021,31352.96,31563.31,31260.14,31270.09
DJIA,3/2/2021,31535.37,31623.27,31377.16,31391.52
DJIA,3/1/2021,31065.90,31668.34,31065.90,31535.51
DJIA,2/26/2021,31401.29,31450.89,30911.37,30932.37
DJIA,2/25/2021,31955.94,31984.77,31293.32,31402.01
DJIA,2/24/2021,31499.75,32009.64,31421.29,31961.86
DJIA,2/23/2021,31501.89,31653.38,31158.76,31537.35
DJIA,2/22/2021,31381.12,31653.48,31286.57,31521.69
DJIA,2/19/2021,31504.13,31647.53,31469.34,31494.32
DJIA,2/18/2021,31558.60,31558.60,31285.32,31493.34
DJIA,2/17/2021,31485.61,31643.70,31338.76,31613.02
DJIA,2/16/2021,31472.08,31608.63,31443.48,31522.75
DJIA,2/12/2021,31420.80,31475.31,31347.80,31458.40
DJIA,2/11/2021,31466.49,31543.82,31244.36,31430.70
DJIA,2/10/2021,31428.02,31511.44,31221.32,31437.80
DJIA,2/9/2021,31359.88,31439.47,31245.86,31375.83
DJIA,2/8/2021,31191.20,31386.10,31191.20,31385.76
DJIA,2/5/2021,31093.81,31252.18,31083.22,31148.24
DJIA,2/4/2021,30737.78,31065.96,30737.78,31055.86
DJIA,2/3/2021,30689.65,30793.41,30521.31,30723.60
DJIA,2/2/2021,30276.88,30840.54,30276.88,30687.48
DJIA,2/1/2021,30054.73,30335.91,30014.97,30211.91
DJIA,1/29/2021,30553.91,30553.91,29856.30,29982.62
DJIA,1/28/2021,30377.19,30951.41,30377.19,30603.36
DJIA,1/27/2021,30893.78,30893.78,30206.91,30303.17
DJIA,1/26/2021,30968.55,31121.42,30921.71,30937.04
DJIA,1/25/2021,30989.85,30989.85,30564.06,30960.00
DJIA,1/22/2021,31141.56,31141.56,30908.47,30996.98
DJIA,1/21/2021,31198.01,31272.22,31120.92,31176.01
DJIA,1/20/2021,31017.54,31235.98,30997.79,31188.38
DJIA,1/19/2021,30887.42,31086.62,30865.03,30930.52
DJIA,1/15/2021,30926.77,30941.98,30612.67,30814.26
DJIA,1/14/2021,31085.67,31223.78,30982.24,30991.52
DJIA,1/13/2021,31084.88,31153.37,30992.05,31060.47
DJIA,1/12/2021,31015.01,31114.56,30888.76,31068.69
DJIA,1/11/2021,31015.37,31096.98,30832.06,31008.69
DJIA,1/8/2021,31069.58,31140.67,30793.27,31097.97
DJIA,1/7/2021,30901.18,31193.40,30897.86,31041.13
DJIA,1/6/2021,30362.78,31022.65,30313.07,30829.40
DJIA,1/5/2021,30204.25,30504.89,30141.78,30391.60
DJIA,1/4/2021,30627.47,30674.28,29881.82,30223.89
DJIA,12/31/2020,30417.64,30637.47,30344.50,30606.48
